Transaction_ID,Date,Customer_ID,Age,Gender,Region,Product,Quantity,Stock_Level,Purchase_Frequency,Category,Unit_Price,Total_Sales,Low_Stock_Flag,Age_Category
TXN000001,2023-07-27,CUST02968,57,Male,North,Monitor,1,7,5,Computers,19000,19000,Low,Senior
TXN000002,2024-12-22,CUST03171,54,Female,North,Speaker,1,237,1,Accessories,8500,8500,Sufficient,Middle-Aged
TXN000003,2023-10-31,CUST04027,30,Male,West,Smartwatch,2,261,2,Wearables,8000,16000,Sufficient,Adult
TXN000004,2024-05-14,CUST03800,41,Male,West,Tablet,1,223,1,Computers,22000,22000,Sufficient,Middle-Aged
TXN000005,2024-05-09,CUST04764,52,Male,East,Tablet,1,267,4,Computers,32000,32000,Sufficient,Middle-Aged
TXN000006,2023-12-26,CUST03080,30,Female,East,Speaker,2,45,6,Accessories,2500,5000,Sufficient,Adult
TXN000007,2024-09-10,CUST01521,62,Male,East,Laptop,2,140,2,Computers,75000,150000,Sufficient,Senior
TXN000008,2023-02-02,CUST04203,47,Male,East,Smartwatch,1,246,4,Wearables,4000,4000,Sufficient,Middle-Aged
TXN000009,2024-06-26,CUST03327,50,Female,South,Monitor,1,288,4,Computers,9000,9000,Sufficient,Middle-Aged
TXN000010,2024-03-26,CUST02284,39,Female,East,Smartwatch,3,243,2,Wearables,8000,24000,Sufficient,Adult
TXN000011,2023-03-23,CUST02522,37,Female,South,Laptop,1,288,2,Computers,55000,55000,Sufficient,Adult
TXN000012,2023-03-04,CUST03130,69,Female,East,Tablet,2,157,4,Computers,22000,44000,Sufficient,Senior
TXN000013,2024-06-27,CUST04316,36,Female,East,Smartwatch,2,21,5,Wearables,4000,8000,Sufficient,Adult
TXN000014,2023-02-22,CUST03466,18,Male,North,Monitor,3,81,4,Computers,14000,42000,Sufficient,Young
TXN000015,2024-02-19,CUST01996,29,Female,West,Camera,3,34,5,Electronics,35000,105000,Sufficient,Adult
TXN000016,2023-09-09,CUST04855,66,Female,North,Speaker,1,295,5,Accessories,8500,8500,Sufficient,Senior
TXN000017,2023-05-25,CUST01188,50,Female,East,Speaker,2,35,2,Accessories,2500,5000,Sufficient,Middle-Aged
TXN000018,2024-02-14,CUST03483,69,Male,West,Camera,1,289,4,Electronics,45000,45000,Sufficient,Senior
TXN000019,2024-03-27,CUST02941,46,Male,South,Headphones,1,252,4,Accessories,4500,4500,Sufficient,Middle-Aged
TXN000020,2023-06-19,CUST02245,31,Female,West,Speaker,3,247,3,Accessories,8500,25500,Sufficient,Adult
TXN000021,2023-07-07,CUST02701,37,Male,South,Laptop,3,296,1,Computers,75000,225000,Sufficient,Adult
TXN000022,2024-05-14,CUST04152,34,Female,North,Smartwatch,2,58,3,Wearables,10000,20000,Sufficient,Adult
TXN000023,2024-11-11,CUST01793,41,Male,North,Headphones,3,99,4,Accessories,4500,13500,Sufficient,Middle-Aged
TXN000024,2023-09-29,CUST03239,62,Male,West,Monitor,3,292,5,Computers,9000,27000,Sufficient,Senior
TXN000025,2023-12-23,CUST03432,48,Female,North,Monitor,1,45,1,Computers,9000,9000,Sufficient,Middle-Aged
TXN000026,2024-03-13,CUST04646,34,Female,West,Smartphone,3,236,6,Electronics,18000,54000,Sufficient,Adult
TXN000027,2024-01-06,CUST03632,33,Female,South,Speaker,2,145,4,Accessories,6500,13000,Sufficient,Adult
TXN000028,2023-12-04,CUST02010,50,Male,West,Camera,1,299,1,Electronics,45000,45000,Sufficient,Middle-Aged
TXN000029,2023-08-26,CUST00806,20,Female,South,Tablet,1,16,4,Computers,27000,27000,Low,Young
TXN000030,2023-11-22,CUST00572,61,Female,North,Smartwatch,1,45,3,Wearables,8000,8000,Sufficient,Senior
TXN000031,2024-10-26,CUST03341,54,Female,South,Camera,2,67,1,Electronics,45000,90000,Sufficient,Middle-Aged
TXN000032,2024-07-07,CUST00637,49,Male,West,Smartphone,3,190,4,Electronics,18000,54000,Sufficient,Middle-Aged
TXN000033,2023-06-08,CUST03606,19,Male,North,Smartphone,1,263,4,Electronics,22000,22000,Sufficient,Young
TXN000034,2024-11-12,CUST00420,27,Male,East,Smartphone,1,211,4,Electronics,28000,28000,Sufficient,Adult
TXN000035,2024-11-09,CUST04522,54,Male,South,Headphones,3,201,4,Accessories,3500,10500,Sufficient,Middle-Aged
TXN000036,2023-11-14,CUST03546,50,Male,East,Laptop,3,71,2,Computers,75000,225000,Sufficient,Middle-Aged
TXN000037,2023-10-02,CUST00643,66,Male,North,Headphones,2,9,4,Accessories,3500,7000,Low,Senior
TXN000038,2023-02-23,CUST01666,60,Female,South,Speaker,3,13,4,Accessories,2500,7500,Low,Senior
TXN000039,2023-10-03,CUST00243,57,Male,South,Smartphone,1,142,3,Electronics,28000,28000,Sufficient,Senior
TXN000040,2023-02-17,CUST00667,31,Female,North,Tablet,1,203,6,Computers,32000,32000,Sufficient,Adult
TXN000041,2023-07-07,CUST04637,45,Male,West,Smartphone,3,239,3,Electronics,18000,54000,Sufficient,Middle-Aged
TXN000042,2024-01-05,CUST04585,24,Female,East,Smartphone,1,270,3,Electronics,22000,22000,Sufficient,Young
TXN000043,2023-09-22,CUST00232,25,Female,East,Smartphone,3,271,3,Electronics,28000,84000,Sufficient,Young
TXN000044,2023-01-25,CUST01287,22,Female,South,Headphones,1,229,2,Accessories,3500,3500,Sufficient,Young
TXN000045,2024-05-28,CUST02812,28,Male,South,Tablet,2,162,1,Computers,22000,44000,Sufficient,Adult
TXN000046,2023-06-14,CUST01370,28,Female,West,Headphones,3,155,5,Accessories,4500,13500,Sufficient,Adult
TXN000047,2024-11-04,CUST02740,67,Male,West,Headphones,2,161,6,Accessories,1500,3000,Sufficient,Senior
TXN000048,2023-01-12,CUST04363,45,Male,West,Smartwatch,1,125,4,Wearables,10000,10000,Sufficient,Middle-Aged
TXN000049,2024-10-09,CUST04714,44,Female,South,Speaker,2,194,3,Accessories,4500,9000,Sufficient,Middle-Aged
TXN000050,2023-05-22,CUST02760,62,Female,South,Laptop,1,44,2,Computers,75000,75000,Sufficient,Senior
TXN000051,2024-01-11,CUST01510,36,Female,East,Camera,1,296,6,Electronics,45000,45000,Sufficient,Adult
TXN000052,2023-07-15,CUST04914,29,Female,East,Smartwatch,3,203,3,Wearables,4000,12000,Sufficient,Adult
TXN000053,2023-11-24,CUST04504,58,Female,West,Laptop,2,31,4,Computers,45000,90000,Sufficient,Senior
TXN000054,2024-06-13,CUST04250,41,Male,East,Camera,3,81,5,Electronics,45000,135000,Sufficient,Middle-Aged
TXN000055,2024-07-03,CUST03934,49,Male,North,Laptop,1,184,1,Computers,75000,75000,Sufficient,Middle-Aged
TXN000056,2024-07-14,CUST00923,66,Male,East,Camera,2,261,4,Electronics,35000,70000,Sufficient,Senior
TXN000057,2023-03-14,CUST01198,37,Male,South,Speaker,2,54,6,Accessories,6500,13000,Sufficient,Adult
TXN000058,2023-08-11,CUST03411,65,Male,South,Smartphone,1,22,5,Electronics,22000,22000,Sufficient,Senior
TXN000059,2023-01-02,CUST02079,43,Male,West,Camera,3,80,1,Electronics,45000,135000,Sufficient,Middle-Aged
TXN000060,2024-12-20,CUST01322,48,Male,South,Speaker,3,155,1,Accessories,8500,25500,Sufficient,Middle-Aged
TXN000061,2023-01-09,CUST03529,64,Male,North,Camera,2,240,6,Electronics,25000,50000,Sufficient,Senior
TXN000062,2023-07-21,CUST00671,27,Female,East,Smartphone,2,118,5,Electronics,28000,56000,Sufficient,Adult
TXN000063,2023-10-15,CUST02071,28,Female,South,Camera,3,222,4,Electronics,25000,75000,Sufficient,Adult
TXN000064,2023-01-13,CUST02364,62,Female,East,Laptop,1,61,1,Computers,55000,55000,Sufficient,Senior
TXN000065,2023-03-13,CUST02084,64,Male,South,Speaker,2,169,3,Accessories,6500,13000,Sufficient,Senior
TXN000066,2024-01-13,CUST03973,64,Female,East,Camera,1,240,4,Electronics,35000,35000,Sufficient,Senior
TXN000067,2023-01-03,CUST04927,44,Female,East,Headphones,2,291,2,Accessories,1500,3000,Sufficient,Middle-Aged
TXN000068,2024-11-26,CUST04056,18,Female,West,Laptop,1,141,6,Computers,75000,75000,Sufficient,Young
TXN000069,2024-01-29,CUST00487,58,Female,East,Smartphone,1,166,3,Electronics,18000,18000,Sufficient,Senior
TXN000070,2024-04-16,CUST01660,38,Female,South,Laptop,3,214,2,Computers,55000,165000,Sufficient,Adult
TXN000071,2023-08-25,CUST01688,49,Male,North,Smartphone,3,228,1,Electronics,18000,54000,Sufficient,Middle-Aged
TXN000072,2024-11-30,CUST02675,23,Male,East,Smartwatch,3,119,3,Wearables,10000,30000,Sufficient,Young
TXN000073,2024-07-30,CUST00612,58,Female,East,Tablet,1,129,6,Computers,27000,27000,Sufficient,Senior
TXN000074,2024-01-17,CUST01579,38,Male,North,Laptop,2,192,6,Computers,55000,110000,Sufficient,Adult
TXN000075,2024-01-11,CUST00185,60,Female,West,Speaker,3,166,2,Accessories,6500,19500,Sufficient,Senior
TXN000076,2024-02-06,CUST01472,61,Female,East,Smartphone,3,282,2,Electronics,18000,54000,Sufficient,Senior
TXN000077,2024-12-18,CUST00749,24,Male,East,Monitor,3,221,6,Computers,14000,42000,Sufficient,Young
TXN000078,2024-04-25,CUST02269,47,Female,North,Headphones,2,284,6,Accessories,2500,5000,Sufficient,Middle-Aged
TXN000079,2024-01-15,CUST04854,35,Female,South,Laptop,1,147,2,Computers,65000,65000,Sufficient,Adult
TXN000080,2024-12-19,CUST01154,59,Male,North,Headphones,1,51,2,Accessories,3500,3500,Sufficient,Senior
TXN000081,2023-08-04,CUST00556,43,Male,South,Camera,2,192,3,Electronics,35000,70000,Sufficient,Middle-Aged
TXN000082,2023-07-12,CUST04621,56,Male,South,Camera,2,34,3,Electronics,25000,50000,Sufficient,Senior
TXN000083,2023-03-17,CUST00153,58,Female,East,Tablet,3,234,4,Computers,18000,54000,Sufficient,Senior
TXN000084,2023-05-30,CUST01485,41,Female,South,Smartwatch,3,43,2,Wearables,8000,24000,Sufficient,Middle-Aged
TXN000085,2024-08-22,CUST00875,34,Male,South,Tablet,1,48,3,Computers,18000,18000,Sufficient,Adult
TXN000086,2023-06-16,CUST01936,30,Female,East,Tablet,3,274,4,Computers,27000,81000,Sufficient,Adult
TXN000087,2023-11-23,CUST00870,46,Female,North,Smartwatch,3,177,3,Wearables,6000,18000,Sufficient,Middle-Aged
TXN000088,2023-10-10,CUST00651,48,Male,South,Camera,3,92,6,Electronics,25000,75000,Sufficient,Middle-Aged
TXN000089,2024-07-13,CUST03442,39,Female,North,Laptop,3,297,6,Computers,65000,195000,Sufficient,Adult
TXN000090,2023-06-07,CUST03317,39,Male,West,Smartphone,1,123,3,Electronics,22000,22000,Sufficient,Adult
TXN000091,2024-07-28,CUST02258,60,Male,West,Laptop,2,209,2,Computers,65000,130000,Sufficient,Senior
TXN000092,2024-05-11,CUST01107,59,Male,East,Headphones,1,255,5,Accessories,1500,1500,Sufficient,Senior
TXN000093,2024-02-02,CUST02166,61,Male,East,Headphones,1,177,3,Accessories,1500,1500,Sufficient,Senior
TXN000094,2023-05-06,CUST00785,23,Male,North,Tablet,1,53,3,Computers,18000,18000,Sufficient,Young
TXN000095,2024-09-18,CUST03718,47,Female,West,Tablet,2,143,6,Computers,32000,64000,Sufficient,Middle-Aged
TXN000096,2023-10-20,CUST03963,45,Female,East,Smartphone,1,290,4,Electronics,22000,22000,Sufficient,Middle-Aged
TXN000097,2024-04-02,CUST03771,46,Female,East,Monitor,1,131,3,Computers,14000,14000,Sufficient,Middle-Aged
TXN000098,2024-11-10,CUST00964,57,Male,West,Tablet,3,9,4,Computers,27000,81000,Low,Senior
TXN000099,2024-10-14,CUST02496,56,Female,North,Smartphone,1,225,4,Electronics,28000,28000,Sufficient,Senior
TXN000100,2023-06-21,CUST02471,27,Male,West,Laptop,2,224,1,Computers,75000,150000,Sufficient,Adult
TXN000101,2023-03-31,CUST01372,23,Female,North,Monitor,3,30,2,Computers,19000,57000,Sufficient,Young
TXN000102,2023-10-02,CUST01985,57,Female,East,Speaker,1,212,2,Accessories,8500,8500,Sufficient,Senior
TXN000103,2023-11-25,CUST02372,36,Female,East,Camera,1,162,6,Electronics,35000,35000,Sufficient,Adult
TXN000104,2023-07-08,CUST01736,68,Female,North,Headphones,3,63,1,Accessories,2500,7500,Sufficient,Senior
TXN000105,2024-02-14,CUST04325,21,Male,South,Smartphone,1,155,1,Electronics,18000,18000,Sufficient,Young
TXN000106,2024-06-02,CUST04138,65,Female,North,Smartwatch,1,226,2,Wearables,10000,10000,Sufficient,Senior
TXN000107,2024-01-22,CUST03437,51,Male,North,Speaker,1,90,3,Accessories,6500,6500,Sufficient,Middle-Aged
TXN000108,2023-06-21,CUST04061,23,Female,South,Tablet,3,294,2,Computers,27000,81000,Sufficient,Young
TXN000109,2024-03-05,CUST01908,22,Male,East,Monitor,2,203,5,Computers,19000,38000,Sufficient,Young
TXN000110,2024-07-15,CUST01169,39,Male,West,Tablet,2,115,6,Computers,18000,36000,Sufficient,Adult
TXN000111,2024-01-14,CUST04970,32,Male,North,Headphones,2,75,5,Accessories,1500,3000,Sufficient,Adult
TXN000112,2024-04-24,CUST03432,40,Female,East,Monitor,1,191,4,Computers,24000,24000,Sufficient,Adult
TXN000113,2023-08-08,CUST00078,20,Male,North,Smartwatch,2,208,1,Wearables,4000,8000,Sufficient,Young
TXN000114,2023-05-13,CUST02739,20,Female,South,Speaker,2,8,5,Accessories,4500,9000,Low,Young
TXN000115,2024-12-22,CUST02880,42,Female,North,Speaker,1,21,6,Accessories,8500,8500,Sufficient,Middle-Aged
TXN000116,2024-11-15,CUST03146,27,Female,North,Camera,2,42,3,Electronics,45000,90000,Sufficient,Adult
TXN000117,2023-08-03,CUST01425,54,Female,West,Camera,3,188,5,Electronics,55000,165000,Sufficient,Middle-Aged
TXN000118,2023-11-05,CUST00367,67,Female,South,Smartwatch,1,228,3,Wearables,10000,10000,Sufficient,Senior
TXN000119,2023-04-28,CUST02676,31,Female,South,Monitor,3,223,5,Computers,24000,72000,Sufficient,Adult
TXN000120,2024-12-19,CUST00927,29,Male,South,Camera,3,258,5,Electronics,45000,135000,Sufficient,Adult
TXN000121,2023-03-07,CUST04964,23,Male,East,Speaker,1,143,4,Accessories,2500,2500,Sufficient,Young
TXN000122,2023-03-30,CUST00244,68,Female,North,Camera,3,266,5,Electronics,25000,75000,Sufficient,Senior
TXN000123,2024-09-10,CUST00528,59,Female,North,Tablet,2,94,4,Computers,27000,54000,Sufficient,Senior
TXN000124,2023-11-05,CUST03736,48,Female,North,Laptop,3,150,4,Computers,75000,225000,Sufficient,Middle-Aged
TXN000125,2024-09-04,CUST01211,46,Male,North,Monitor,2,252,1,Computers,19000,38000,Sufficient,Middle-Aged
TXN000126,2023-11-22,CUST02511,62,Female,North,Camera,2,76,4,Electronics,35000,70000,Sufficient,Senior
TXN000127,2024-01-03,CUST04503,38,Female,South,Tablet,3,278,1,Computers,27000,81000,Sufficient,Adult
TXN000128,2023-02-04,CUST03501,21,Female,West,Laptop,2,20,2,Computers,65000,130000,Sufficient,Young
TXN000129,2024-09-28,CUST02045,44,Male,North,Camera,2,56,4,Electronics,45000,90000,Sufficient,Middle-Aged
TXN000130,2024-08-29,CUST03725,45,Male,West,Smartwatch,1,11,2,Wearables,4000,4000,Low,Middle-Aged
TXN000131,2023-07-26,CUST00259,58,Female,West,Smartwatch,3,112,4,Wearables,8000,24000,Sufficient,Senior
TXN000132,2023-08-14,CUST03939,35,Female,West,Laptop,1,116,6,Computers,65000,65000,Sufficient,Adult
TXN000133,2024-05-06,CUST04818,50,Female,East,Speaker,3,80,4,Accessories,4500,13500,Sufficient,Middle-Aged
TXN000134,2023-02-10,CUST01718,68,Female,North,Tablet,1,268,3,Computers,27000,27000,Sufficient,Senior
TXN000135,2023-05-06,CUST00569,40,Male,East,Laptop,3,45,3,Computers,55000,165000,Sufficient,Adult
TXN000136,2023-02-14,CUST02138,48,Male,South,Camera,1,109,6,Electronics,25000,25000,Sufficient,Middle-Aged
TXN000137,2024-08-01,CUST00454,20,Male,North,Speaker,1,97,2,Accessories,4500,4500,Sufficient,Young
TXN000138,2023-11-20,CUST03008,58,Male,East,Monitor,2,69,1,Computers,14000,28000,Sufficient,Senior
TXN000139,2023-05-17,CUST04954,66,Female,East,Monitor,3,152,4,Computers,14000,42000,Sufficient,Senior
